CCC,Attack Surface
2.74298496,1
2.733754301,1
2.733325358,1
2.732134097,1
2.733517438,1
2.731070179,1
2.733437813,1
2.733547293,1
2.733298478,1
2.822315124,1
2.822420115,1
2.739213086,1
2.733517438,1
2.822498486,1
2.733704034,1
2.733517438,1
2.73363686,1
2.733547293,1
2.733016832,1
2.733235792,1
2.734129991,1
2.822865956,1
2.822498486,1
2.733235792,1
2.734244935,1
2.733517438,1
2.733547293,1
2.733828939,1
2.73380994,1
2.733963289,1
2.743238751,1
2.822210132,1
2.732134097,1
2.733547293,1
2.732134097,1
2.822498486,1
2.73149116,1
2.822656968,1
2.733547293,1
2.733517438,1
2.742800852,1
2.822420115,1
2.733517438,1
2.74178324,1
2.738919498,1
2.737436629,1
2.733235792,1
2.733533994,1
2.733547293,1
2.735841399,1
2.733235792,1
2.743184006,1
2.731269225,1
2.822656968,1
2.731915137,1
2.734536887,1
2.736727533,1
2.822420115,1
2.743238751,1
2.742890418,1
2.742800852,1
2.822420115,1
2.73363686,1
2.733547293,1
2.734115742,1
2.739491746,1
2.733517438,1
2.733228826,1
2.733709518,1
2.733235792,1
2.743492522,1
2.73149116,1
2.731179659,1
2.821088066,1
2.740862658,1
2.822420115,1
2.733407958,1
2.742800852,1
2.822946068,1
2.733594554,1
2.733235792,1
2.821035819,1
2.822420115,1
2.731915137,1
2.731272201,1
2.740688491,1
2.743064584,1
2.73363686,1
2.731822596,1
2.822420115,1
2.733407958,1
2.733644821,1
2.732024617,1
2.743064584,1
2.733517438,1
2.731179659,1
2.822709215,1
2.73149116,1
2.742800852,1
2.73149116,1
2.82111419,1
2.732134097,1
2.822709215,1
2.734507032,1
2.733126312,1
2.822420115,1
2.733517438,1
2.822420115,1
2.733547293,1
2.821062689,1
2.733547293,1
2.733235792,1
2.733235792,1
2.822420115,1
2.820930828,1
2.822446985,1
2.821324919,1
2.734684643,1
2.743238751,1
2.733126312,1
2.733517438,1
2.736097084,1
2.822551976,1
2.733828939,1
2.731179659,1
2.73330845,1
2.733517438,1
2.822656968,1
2.731647901,1
2.733517438,1
2.733235792,1
2.742691372,1
2.742955105,1
2.733126312,1
2.822420115,1
2.735132867,1
2.733215878,1
2.74309444,1
2.822656968,1
2.821035819,1
2.732104242,1
2.742955105,1
2.822710459,1
2.733547293,1
2.733437813,1
2.733547293,1
2.733547293,1
2.733547293,1
2.822420115,1
2.822420115,1
2.822656968,1
2.73308949,1
2.733298478,1
2.733517438,1
2.742671458,1
2.822656968,1
2.74309444,1
2.743064584,1
2.742845625,1
2.822656968,1
2.822420115,1
2.733700461,1
2.821035819,1
2.743582088,1
2.730984583,1
2.822551976,1
2.732306263,1
2.822446985,1
2.731428942,1
2.822787585,1
2.820930828,1
2.733407958,1
2.733325358,1
5.253904037,1
5.108477267,1
5.476929064,1
5.820795162,1
5.74044023,1
5.792576246,1
5.352817459,1
1.185656028,1
5.384662889,1
5.348482906,1
5.794122068,1
5.344849245,1
5.32767141,1
5.080072064,1
5.564286823,1
2.741086935,1
5.661730386,1
5.605678803,1
5.0912182,1
5.695788442,1
4.874039691,1
5.812491546,1
4.802330822,1
5.540892407,1
5.745381622,1
5.698617598,1
5.173948494,1
5.58184886,1
4.977230987,1
5.730478099,1
5.759198344,1
5.478686914,1
5.618973888,1
2.901710956,1
5.09917545,1
5.800971677,1
5.392486851,1
5.824938768,1
4.772644712,1
5.704435226,1
4.782334497,1
5.950241825,1
5.739229519,1
2.741086935,1
5.196171766,1
3.824632711,1
5.725008964,1
2.741086935,1
5.19090924,1
5.691095197,1
5.540160456,1
5.550619244,1
5.236929611,1
4.076510568,1
3.753394531,1
5.722812994,1
5.763254296,1
4.4631916,1
3.508384407,1
5.628044223,1
5.587647548,1
4.664245487,1
4.862291759,1
5.138430687,1
5.157576332,1
5.178280816,1
5.588000553,1
5.597018498,1
5.582094185,1
4.801685592,1
5.736899863,1
5.404880245,1
2.742391814,1
5.244638759,1
5.347512968,1
5.738974948,1
5.954079431,1
5.736389832,1
5.552008891,1
5.523213803,1
5.853729018,1
5.727230673,1
4.069055311,1
5.910542576,1
4.877139363,1
4.89412511,1
5.208810788,1
5.811536374,1
5.899485058,1
5.757524199,1
4.171551068,1
4.313911305,1
5.635820522,1
5.641069858,1
5.524046633,1
5.590418312,1
5.031070934,1
5.286651809,1
5.537412252,1
5.070856439,1
3.185125667,1
5.682260431,1
5.658865116,1
5.792597179,1
5.805492772,1
5.445575556,1
5.35437107,1
5.65346855,1
5.825631393,1
5.582550566,1
5.606431549,1
5.595935846,1
5.016791066,1
2.741086935,1
5.194897104,1
5.13793887,1
5.650575552,1
4.135416297,1
4.305180598,1
5.936466847,1
5.680345213,1
5.832248181,1
5.604825767,1
5.769410139,1
4.843843039,1
5.712557122,1
5.678380976,1
2.884907766,1
5.150978245,1
5.238329063,1
5.088695693,1
5.85422534,1
5.601278677,1
5.032931147,1
5.571245495,1
5.268738901,1
5.757378085,1
5.658391289,1
4.902300623,1
5.032946536,1
5.164537154,1
4.969066463,1
5.522686501,1
5.424582645,1
4.135844599,1
4.243592194,1
5.397051321,1
5.402724691,1
5.772245898,1
5.477504764,1
5.309557592,1
5.306172489,1
5.208453344,1
5.039424822,1
5.035918949,1
5.739254154,1
5.201091138,1
2.741067793,1
2.741086935,1
5.693760944,1
5.645324763,1
5.161856431,1
4.866420373,1
5.094691815,1
5.476130832,1
5.626959895,1
5.118117282,1
4.945166963,1
5.362072862,1
5.744683918,1
5.743888696,1
4.93933428,1
5.704372333,1
5.152170101,1
5.806475525,1
5.861441227,1
5.656744501,1
5.589597093,1
5.281750165,1
4.891047466,1
5.36698417,1
5.547301975,1
5.859635998,1
4.614996471,1
5.65060357,1
5.917805075,1
5.776383173,1
4.887856397,1
5.602643218,1
5.346759964,1
5.582550779,1
4.861064704,1
5.531096732,1
5.843410555,1
5.955344803,1
4.62924047,1
6.019098326,1
5.536774757,1
5.222396492,1
5.815885657,1
5.629931167,1
5.739820436,1
5.728580478,1
4.861023305,1
5.846478757,1
5.850781751,1
5.796558806,1
3.824073859,1
5.980889934,1
5.772938314,1
5.303814681,1
5.929811541,1
5.320646477,1
4.86935388,1
5.755796819,1
4.341193027,1
5.861024214,1
2.867505104,1
5.214162414,1
5.834740391,1
5.710633702,1
5.676574231,1
5.139137993,1
5.631212302,1
5.506416646,1
5.746383216,1
5.626691945,1
5.56980284,1
5.854973936,1
5.777618424,1
4.0914741,1
5.211687976,1
5.759971019,1
5.079990735,1
5.114254515,1
5.538964854,1
5.204507198,1
4.876831812,1
5.405955047,1
5.758421742,1
4.885902987,1
5.812300474,1
5.895758251,1
5.678365259,1
5.06432668,1
5.691520528,1
2.923417905,1
5.763257642,1
5.556886417,1
5.8229434,1
5.112974936,1
5.168581062,1
5.594420114,1
5.953037365,1
4.81383622,1
5.36508861,1
5.746600534,1
5.68532119,1
5.095168342,1
6.006570864,1
5.35584745,1
5.558490339,1
5.782577804,1
5.757888869,1
4.802563667,1
5.827755321,1
5.543682552,1
5.708225429,1
5.267215799,1
5.116771756,1
5.199859282,1
5.912230864,1
5.650546973,1
5.341759783,1
4.01929291,1
5.180229083,1
5.729309544,1
2.741057486,1
5.685408329,1
5.779303977,1
5.11681969,1
4.827257741,1
4.796356566,1
5.106911911,1
5.498321142,1
5.727572976,1
4.303488571,1
5.809009654,1
5.8622347,1
5.89939725,1
5.189059823,1
5.603355291,1
5.303806863,1
5.895766403,1
5.109195376,1
5.5523174,1
5.606382696,1
4.982833428,1
5.2407545,1
5.700986587,1
5.560198087,1
5.852702847,1
5.106866984,1
5.740817065,1
5.027344834,1
5.004623478,1
5.116771756,1
5.061145208,1
4.372193898,1
5.005236599,1
4.94907307,1
5.652004848,1
5.71408045,1
5.865185496,1
5.162469542,1
5.175184696,1
4.301567487,1
5.823282233,1
5.543256401,1
4.623498602,1
4.4631916,1
5.711285432,1
5.14763536,1
5.325464782,1
5.567678002,1
5.555964887,1
5.036827972,1
5.668908893,1
5.697087683,1
5.103192467,1
5.66874466,1
5.144868809,1
5.304147043,1
5.721540737,1
3.657622958,1
5.181262617,1
5.924248602,1
5.879747941,1
5.113492148,1
3.432569544,1
3.89064932,1
5.606457415,1
4.876692885,1
5.712672057,1
5.707202563,1
5.77037313,1
5.647155583,1
4.924689414,1
5.213585054,1
5.095911512,1
5.632796168,1
5.571350238,1
5.281262857,1
5.240510136,1
5.632913975,1
5.272444554,1
4.072246607,1
5.219725869,1
5.957668897,1
5.445846738,1
5.965273908,1
5.409521172,1
5.809866497,1
5.95218321,1
5.6813017,1
5.527440034,1
5.761288893,1
5.695795194,1
5.86222969,1
5.870849236,1
5.395285448,1
5.478228709,1
5.106866984,1
5.149570207,1
5.77671008,1
5.603304781,1
4.677836178,1
5.545037104,1
5.909526868,1
5.702796071,1
5.296273912,1
2.884915885,1
4.995787297,1
5.94266516,1
2.901713648,1
4.931788203,1
5.659934921,1
5.113540081,1
5.722776103,1
5.621900055,1
5.850855604,1
4.957327471,1
5.76678964,1
5.645294596,1
5.234028304,1
5.611466994,1
4.472074437,1
5.849239168,1
5.123390822,1
5.769800188,1
5.739149176,1
4.69725532,1
5.716991489,1
5.779920207,1
4.943798854,1
2.831491161,1
5.626239315,1
4.100632745,1
5.880047904,1
5.577057729,1
5.527511674,1
2.741067793,1
5.026035808,1
5.619652171,1
5.324760223,1
5.616591039,1
5.094266961,1
5.652124856,1
2.741056013,1
5.693734883,1
4.165318088,1
5.452796221,1
5.512675165,1
5.245974488,1
5.0369528,1
4.968602418,1
5.648797592,1
5.095546048,1
5.626226302,1
5.531937526,1
5.231713013,1
5.559375873,1
5.218787115,1
5.813932951,1
5.225761301,1
5.217352831,1
5.088148997,1
5.178831014,1
5.710494168,1
2.923412738,1
5.55119129,1
5.551371307,1
5.321650373,1
5.28006407,1
5.156297503,1
4.472041085,1
5.828570433,1
4.885902987,1
4.844095685,1
5.849413714,1
5.558979623,1
5.567001109,1
5.173957943,1
6.029298842,1
4.953335409,1
5.856899851,1
5.24916754,1
5.991625971,1
5.5219921,1
5.643345834,1
5.699201468,1
5.68957854,1
2.74107221,1
5.529464352,1
5.676173947,1
5.716893032,1
5.515977981,1
5.706410278,1
5.594652742,1
5.458139565,1
5.921360695,1
5.555061647,1
5.989051046,1
5.106866984,1
5.78081271,1
5.249185605,1
5.590190665,1
5.606322481,1
5.088562297,1
5.128653324,1
5.869555969,1
5.587851047,1
5.312028398,1
5.853311641,1
5.058518271,1
5.316042056,1
5.815408787,1
5.822957645,1
6.008608043,1
5.742316703,1
4.915854031,1
5.234721182,1
5.738564865,1
5.619262253,1
5.260803239,1
5.693535415,1
5.672961546,1
5.541291008,1
5.855427236,1
4.067582452,1
5.215832069,1
5.891103446,1
5.45396715,1
5.592465619,1
5.662528083,1
5.445571875,1
5.812530336,1
5.51887494,1
5.583473894,1
5.406013906,1
5.737380002,1
5.147824741,1
5.737516642,1
5.654385579,1
5.668594103,1
5.675339728,1
5.613151228,1
5.818281915,1
5.87608378,1
5.719870653,1
5.657271198,1
5.384505539,1
5.431219275,1
4.645879416,1
5.810712313,1
5.571409409,1
5.2623003,1
5.241520244,1
5.961498885,1
4.822657382,1
5.822873581,1
5.554088238,1
5.684308191,1
5.380800645,1
5.146683803,1
5.694624095,1
5.064169088,1
5.047938485,1
5.037059414,1
4.162725644,1
5.500445043,1
4.180333261,1
5.461241395,1
4.917826257,1
5.675893876,1
4.978244332,1
5.11676875,1
5.767274909,1
5.384578144,1
5.064940247,1
5.473966797,1
5.549501653,1
5.541370613,1
5.862216886,1
5.513726119,1
5.233083474,1
5.867915562,1
2.831716854,1
5.859672506,1
3.780954445,1
5.405051017,1
4.808823302,1
3.551047871,1
5.811466904,1
5.562005276,1
4.992756466,1
5.736308738,1
5.649482792,1
5.797160656,1
5.531742344,1
5.661191478,1
5.670428006,1
5.514881771,1
5.249959265,1
5.411567729,1
5.426229558,1
5.100374605,1
5.508137562,1
4.964152087,1
5.557227926,1
5.604394397,1
4.686826489,1
4.813884159,1
5.284737825,1
4.4631916,1
5.583692028,1
5.559102745,1
5.382704586,1
5.820968947,1
5.961667063,1
5.552086432,1
5.707820063,1
4.940188618,1
5.70394535,1
5.735335348,1
5.908120954,1
5.211836297,1
5.763255969,1
5.73031033,1
5.067653496,1
5.945469638,1
5.521496976,1
5.535903567,1
5.71866414,1
5.160220721,1
4.161597731,1
4.854884404,1
6.010250595,1
5.603534129,1
5.511591377,1
5.806616243,1
5.720501196,1
5.181273883,1
5.281221558,1
5.348683567,1
5.703760559,1
4.963513082,1
5.622427772,1
5.72450381,1
5.160228924,1
4.864381197,1
5.04787552,1
5.616535302,1
5.161856431,1
5.381893139,1
4.14491724,1
6.029940387,1
5.154522795,1
4.4631916,1
4.80470879,1
5.15174309,1
5.915025616,1
5.66375758,1
5.291064659,1
5.776710654,1
5.329694135,1
2.742398868,1
5.872939419,1
5.737521211,1
5.659344343,1
5.230859578,1
5.552801179,1
5.554288538,1
4.943663832,1
2.867495227,1
5.625666008,1
5.862351441,1
5.683921521,1
5.797578559,1
5.247928858,1
5.98603144,1
4.854409912,1
5.022959374,1
5.116490168,1
5.666773911,1
4.899906969,1
5.965022007,1
5.870344497,1
4.858728018,1
5.772945715,1
5.825319852,1
5.900992018,1
5.799729031,1
5.454823662,1
5.167325303,1
5.459158913,1
5.316104584,1
5.698364252,1
5.861024214,1
5.629831176,1
5.920542502,1
5.925029229,1
5.983308038,1
5.95407997,1
5.524394668,1
4.753206581,1
5.718667005,1
5.234227734,1
5.296207656,1
5.666648669,1
5.114254515,1
5.970192056,1
4.462923893,1
5.864066879,1
5.773630831,1
5.341537077,1
5.667036284,1
4.364476064,1
4.171644006,1
5.867408018,1
3.237798298,1
5.646335593,1
5.918567703,1
3.433851743,1
5.384578144,1
5.182173674,1
5.830968318,1
5.011051564,1
4.964556618,1
5.767906706,1
5.098952157,1
5.717121536,1
2.939828309,1
5.596600612,1
5.579779741,1
5.986171982,1
5.655972921,1
4.872756649,1
5.923400051,1
5.681984996,1
5.699901921,1
5.818733754,1
2.74107221,1
5.536349714,1
5.772993994,1
5.11681969,1
5.228253832,1
5.719866083,1
5.062423425,1
5.645697583,1
5.703130939,1
5.726668958,1
5.884974127,1
5.161856431,1
5.149746773,1
5.234527736,1
5.446499375,1
