CCC,Execution Time
1.660180405,1
3.230063507,0
3.185604786,1
1.652592541,1
3.187614961,1
3.230559202,1
3.186992603,1
3.230378876,1
3.185453871,1
3.230321089,1
3.185190906,1
3.230700955,0
3.185962413,1
3.22962807,1
1.660893532,1
3.230124576,1
3.185977725,1
3.2299322,0
3.185247051,1
1.652385826,1
3.185140161,1
3.230542438,1
3.186593525,1
3.230639672,0
3.186512286,1
3.230667447,1
3.185480931,1
3.390230122,1
3.186694061,1
3.253501158,1
1.660407076,1
3.229729327,1
3.186695941,1
3.230677897,1
3.18602733,1
3.230297368,0
3.186451628,1
1.653637955,0
1.660349604,1
1.652216822,1
1.66059986,1
3.230518453,1
3.186621732,1
1.652750028,1
3.186125189,1
1.652459171,1
3.185900562,1
3.229916273,0
3.185611105,1
3.230128649,1
1.660415119,1
3.229956922,1
3.185211049,1
1.652763256,0
3.187148878,1
3.229883496,0
3.185458961,1
3.230764901,1
3.186432942,1
3.230435809,0
3.186774637,1
3.231177225,1
3.185355579,1
3.230715757,0
1.660439256,1
3.230599699,1
1.661280229,1
3.22967388,0
3.185984498,1
3.230123265,0
3.185784776,1
3.229681507,1
3.186957379,1
3.230456241,1
1.660399057,1
3.230676348,0
3.186767693,1
1.652676557,1
3.186665485,1
1.652518628,0
3.18633084,1
3.230139777,0
3.185368261,1
4.090836883,1
3.185320467,1
3.230502749,0
3.185082685,1
3.230404116,0
3.186127917,1
3.230399702,0
3.184837084,1
3.230451485,1
3.185604815,1
3.230057635,1
3.186063914,1
3.230276988,1
3.186105948,1
3.230054079,1
3.185383375,1
3.231015298,1
3.576307577,1
3.230173893,1
3.186688087,1
1.652644662,1
3.186687608,1
3.229858583,1
1.660089112,1
3.22966519,0
2.138399214,1
3.186790514,0
3.229902622,1
3.185488334,0
3.230026307,1
3.186321743,1
3.230015571,1
3.18626762,1
3.22997484,1
3.184703674,1
3.229879792,1
3.186770316,0
3.229670885,1
5.052546453,1
5.028632836,0
5.052418089,1
5.053084906,0
5.052418089,1
5.023692649,1
4.978046428,1
5.052405329,1
5.028423628,1
4.999624336,0
4.948994217,1
4.937807009,0
5.057006037,0
5.023954864,1
4.913089386,1
5.052167074,0
4.942913024,1
5.019838391,0
5.048878801,1
5.033987643,0
5.056825693,1
4.937475717,0
5.024475618,1
5.041381053,0
5.056990748,1
4.933147329,0
5.052414109,1
4.942627512,0
4.999983377,1
4.999963591,0
5.02825959,1
5.052054174,0
5.028326705,1
5.056864559,0
5.057115291,1
5.028624,0
5.05254147,1
5.028691135,0
5.028561198,1
5.023576585,1
5.056996997,1
5.023954864,1
4.942784032,1
5.052290789,1
5.028671292,0
4.999643014,1
5.028329147,1
5.023587347,0
4.973804392,1
4.937810156,0
4.913216466,1
5.028288211,0
5.052550372,1
4.926251165,0
5.05219302,1
4.937934017,0
5.028352501,1
4.978018206,0
5.052418879,1
4.937710756,0
5.05662298,1
5.052550706,0
4.942765023,0
4.949414334,0
5.041439206,1
4.942764356,0
5.057003489,1
5.028252691,0
5.05218348,1
5.0523672,0
4.9999847,1
4.926115749,0
5.052429604,1
5.052541653,0
4.948917829,1
4.942783905,0
5.019915503,0
4.942403603,1
4.972888223,1
5.052424409,1
5.057113722,1
4.93793691,0
4.942901581,1
5.052061588,0
5.041013575,0
5.024251045,0
4.948731826,1
5.024677512,0
5.057001032,1
5.064319123,0
5.028628188,1
5.028643109,0
5.024638834,1
5.048329905,0
5.028691135,1
5.048267856,0
4.973259635,1
5.057126159,0
4.937799555,1
5.012907459,0
4.942764166,1
5.028381108,0
5.052396609,1
4.972898187,0
5.05228848,0
5.041249905,1
4.972890872,0
5.052282677,0
5.057006037,0
5.028391106,0
5.057126311,1
5.052388345,1
5.023945478,0
5.028623144,1
5.028570065,1
4.961851154,0
5.028701422,1
5.000002763,0
5.028500475,0
5.052194721,0
5.028587282,1
4.913238321,0
5.052424166,1
5.05294157,0
5.028561304,1
5.056850445,0
5.000106371,1
4.948734968,0
5.052442577,1
4.961775332,0
4.938084898,1
5.052412286,0
5.041248807,0
4.961614136,0
5.024342561,1
5.056855125,0
5.028220808,1
4.943174413,0
4.937848429,1
5.029099902,0
5.028486869,0
5.028221566,0
5.052549977,0
5.0525446,1
5.028326705,1
5.029039918,0
5.029108498,1
5.02896667,1
5.056855125,1
5.057539702,0
5.020389673,1
4.995620444,0
4.978452585,1
5.024005039,0
5.028691135,1
5.024106794,0
4.94276388,1
5.028342213,0
5.041788122,1
5.04849033,0
5.028893767,1
5.041238536,0
4.978049261,0
5.000115787,0
5.05677744,1
5.012887613,0
4.977670679,1
5.052806462,0
5.028693119,0
4.97818046,0
5.057115291,1
5.028493228,0
4.913470914,1
4.977779291,1
4.948864577,1
4.948866957,1
5.052560307,1
4.938344621,1
5.037332793,1
5.057401773,0
4.942755488,1
4.913119,0
5.057132651,1
4.999727482,0
4.942392922,1
5.052551557,0
4.937680987,0
4.942621183,0
4.926329366,0
5.052421279,0
4.937562577,1
5.02855932,0
5.023719311,1
5.056652131,0
5.006325899,1
4.961688755,0
5.040885535,1
5.028633295,0
5.023577043,1
5.028507691,0
5.023824735,1
5.056987927,0
5.05242055,1
5.056655043,0
4.961846979,1
4.996036972,0
5.057155037,0
5.057133106,0
5.056764639,0
5.05255098,0
5.028693102,1
5.024619694,1
5.01276489,1
5.012765074,1
5.008775879,0
4.937944619,0
5.052540863,0
5.052405147,0
5.052422039,0
5.013294983,0
4.942808723,1
5.05256052,0
5.052156197,0
4.942765023,0
5.057143449,0
5.028570065,0
5.052544205,0
5.041779314,0
5.056990748,1
5.024353232,0
4.938004348,1
5.033700664,0
5.02000197,1
5.057059364,0
5.048132685,1
5.024011949,0
5.024013539,0
5.028497998,0
4.926485767,1
5.023944897,0
5.057193045,1
4.937945096,0
5.028559778,1
5.028569974,0
5.041250057,0
4.937944619,1
5.028502646,0
4.978199725,1
4.973394074,1
4.938354618,0
5.052541288,1
5.028712211,0
4.926348916,1
5.056992711,0
5.052253571,1
5.052469982,0
4.926348916,1
5.012509874,0
4.937935321,1
5.052412742,0
5.0131522,0
5.052588957,0
5.056654861,1
5.052423892,0
4.942764166,1
5.057510005,0
5.02849066,1
4.978049072,0
5.028578888,0
5.023953764,0
5.024361946,0
5.024096643,0
5.057182793,1
5.057124603,0
4.978061349,1
5.024076463,0
5.028371722,1
5.024483663,1
5.023809478,1
5.052544478,0
4.938072771,1
5.056975339,1
5.056770993,1
5.028672187,0
4.978041801,1
5.056986129,0
5.052417846,1
5.023719097,0
4.999982854,1
5.057000759,0
5.052183055,1
4.97781151,0
5.02357686,1
4.973265152,0
5.041393305,0
5.052287234,0
5.056906222,0
5.041636371,0
5.048500464,0
5.048352315,0
4.973127938,1
4.913460851,0
4.977926058,0
5.028225723,0
4.961870418,0
4.97767474,0
5.041312157,1
5.052821855,1
4.937690952,1
5.041372397,0
5.023585452,1
4.913471106,0
4.977669465,1
5.057123884,0
5.028567898,0
4.973815994,0
5.019614267,1
4.913609753,0
5.04177843,1
4.972893646,1
5.028578704,1
5.052423193,0
4.937934081,1
5.052270555,1
4.942775323,1
5.041243626,0
5.012888656,1
5.000086308,0
4.978182223,0
5.057181761,0
5.028571714,0
5.028434557,0
4.942529575,0
5.012377887,0
5.057143714,0
5.037176068,0
5.052137725,1
4.942627036,0
5.052947343,0
4.942764737,0
5.024344548,1
5.052939018,1
4.942392731,1
5.028319776,1
4.926485767,0
5.02408695,1
5.023809203,1
5.057123611,0
4.937944905,1
5.000380206,0
5.028191349,1
5.02414538,0
5.024086614,1
5.052541653,0
4.913470626,0
5.02855932,0
5.023944897,1
4.927013971,0
5.05712433,0
5.028977141,0
5.012754185,1
5.023935204,0
4.942814421,0
5.052938228,0
4.973403659,1
5.023954589,0
5.057000243,1
5.057124066,0
4.93793513,0
5.056994198,0
5.023857665,1
5.057412967,0
5.052534513,1
5.033979536,1
5.057003944,1
5.057401955,1
5.056990475,1
4.978172258,1
5.028623725,0
5.05257009,1
4.942757551,0
4.942902406,1
4.937944619,0
4.943166021,0
5.052552833,0
4.973265089,0
5.041788122,1
5.057136564,0
5.052414838,1
5.041300255,0
5.041258576,1
5.056992711,0
5.052540559,1
5.048489128,0
5.053093226,0
4.978046145,0
4.937797521,1
5.052413714,0
5.052406423,1
5.03731176,0
5.05281591,1
5.052550706,0
4.938355158,1
5.052831223,0
5.028690952,1
5.025026897,0
5.052830737,1
5.056662132,0
5.028491088,1
5.056996967,1
4.942764166,0
5.04125155,1
5.052531961,1
4.942901581,0
5.023954589,1
5.041373342,1
4.913460851,0
5.023945172,0
4.977830963,0
5.057126614,0
4.978051591,0
5.028490721,0
5.056900505,1
5.056996967,0
4.938082546,0
5.019963659,0
5.041382882,0
5.012745934,0
5.040975264,1
5.028633111,0
5.057046077,0
5.052473172,0
5.028568173,1
5.056871202,0
4.926348916,1
4.937798284,0
5.052173484,1
4.97818046,0
5.02855526,0
5.056538287,1
4.948731826,1
5.062153035,0
5.056847451,1
4.948517261,1
5.052551162,0
4.942627512,1
5.028624183,1
5.056637843,1
5.028623419,1
4.961844227,1
5.052074986,1
5.052163671,0
4.937820058,0
4.973264774,0
4.937934081,0
5.052541015,0
5.028423628,1
5.057115291,0
4.93834745,0
4.942549696,0
5.052072707,0
5.052398614,0
5.052279153,1
4.93756601,0
5.028553951,0
4.973383291,0
5.02833552,1
5.024362741,0
4.913470914,1
5.052414474,1
5.02406677,1
5.028565456,0
5.052405329,0
5.028652221,0
5.056999151,1
5.056634689,0
4.942764356,0
5.028419751,0
5.0281894,1
5.052415021,0
4.824551226,1
5.057007675,0
4.938083023,1
4.977909311,0
4.937944619,1
4.948869147,0
5.057123611,1
4.937945096,0
5.023712554,0
5.023954864,0
5.056816025,1
5.052285594,0
5.028134609,0
4.968493037,1
4.973265121,0
5.041371361,0
5.041244418,0
5.056693354,0
4.937573655,1
5.052423832,0
