CCL,PLC,Attack
76.13763348,42.77064897,0.011208293
73.5989899,40.33639144,0.011208293
76.13914863,42.77064897,0.011208293
76.13536075,42.76843658,0.011208293
76.1399062,42.77286136,0.011208293
76.13561328,42.76843658,0.011208293
73.6015873,40.33868502,0.011208293
73.55310245,40.33868502,0.011208293
76.10113997,42.68289086,0.011208293
76.10113997,42.68289086,0.011208293
73.5989899,40.33639144,0.011208293
76.10113997,42.68289086,0.011208293
76.09709957,42.67846608,0.011208293
76.1034127,42.68289086,0.011208293
76.10113997,42.68289086,0.011208293
76.13359307,42.76622419,0.011208293
73.60909091,40.33409786,0.011208293
76.13308802,42.76843658,0.011208293
73.83780664,40.33409786,0.011208293
73.83520924,40.33180428,0.011208293
73.5958153,40.33180428,0.011208293
73.84011544,40.33639144,0.011208293
73.56305916,40.33868502,0.011208293
76.13308802,42.76843658,0.011208293
73.59177489,40.33180428,0.011208293
76.13536075,42.76843658,0.011208293
145.1527294,139.7196522,0.021082562
245.5729556,239.7979917,0.026705709
281.8251625,261.8604975,0.028724633
292.1272461,276.2344317,0.031320579
243.0940945,231.1095941,0.030887909
286.7244518,272.531143,0.031320579
292.1266257,274.2379177,0.030166802
284.2346553,274.3867683,0.030887909
250.2044407,237.4567432,0.028147783
281.1685399,271.1218567,0.030887909
298.1823052,275.1078431,0.031464804
293.9378873,278.5725287,0.031032132
294.0747712,278.8356512,0.030455243
276.6114055,267.0011697,0.02944571
281.1685399,271.3204618,0.030887909
246.6979771,239.6347022,0.019641075
256.0804093,243.6726657,0.033483996
248.1810798,244.0639777,0.027570945
270.1785559,253.4471726,0.028147783
270.9046866,257.9582747,0.029157277
267.0126165,251.0480042,0.026849913
301.1940008,275.7742669,0.031464804
303.8609146,278.2940582,0.03189748
301.7716652,283.4872475,0.031032132
297.2103586,276.3312777,0.031464804
243.0333608,239.8063709,0.019641075
271.3583099,259.8814392,0.036224456
202.1404919,209.1670414,0.023389276
253.8479376,243.6601426,0.026417304
287.7915308,269.9890342,0.029157277
284.3372786,271.1525973,0.029589927
288.36087,275.8870766,0.031753254
263.2898603,248.3452173,0.026849913
291.6374146,277.8959079,0.030887909
262.6264537,252.100771,0.028436207
248.2083616,244.0715174,0.027570945
248.700938,255.8535288,0.026994118
261.8786986,250.7963965,0.027715153
266.4530543,249.654167,0.027715153
149.42692,151.2653039,0.020650096
276.8850184,267.5391914,0.030166802
284.346821,269.8331143,0.029157277
271.3712057,254.7846082,0.028436207
263.2632059,248.0822556,0.027715153
284.8710613,271.2369193,0.029589927
282.291341,271.3820925,0.030887909
246.1047308,241.9570622,0.027570945
287.3317513,269.6000251,0.029878364
301.5451607,275.7958145,0.03189748
298.6429878,273.973428,0.031464804
281.8933478,268.7017131,0.029589927
296.8108995,275.7265778,0.031032132
259.2087536,243.666805,0.026849913
258.2862098,242.3488896,0.019641075
297.8682021,276.9000312,0.037811094
287.5512246,270.0211603,0.029878364
257.8837109,243.664365,0.026417304
269.3539514,258.6469031,0.028147783
296.9840003,282.1445288,0.031032132
289.7886462,274.2248645,0.031320579
257.9576046,242.344494,0.019641075
254.9965574,242.3443209,0.033195534
274.2891893,258.7898116,0.02858042
247.9041864,244.0539267,0.027138324
264.4054484,251.2815116,0.027715153
291.4237693,275.0639412,0.031032132
237.8705061,240.5234423,0.025119524
245.2583289,239.6368955,0.019641075
281.1112127,264.6678559,0.035791743
291.3501535,278.2815911,0.030166802
254.9941933,242.3488896,0.019641075
281.5735158,269.3103936,0.037522612
291.3529752,275.8453241,0.030166802
255.8241481,250.3000036,0.028291995
292.7419746,276.4989797,0.030311022
290.9849308,272.9860292,0.030022583
256.2567022,217.6148788,0.030311022
258.4353464,242.3257284,0.019641075
276.9249706,264.5829166,0.035503269
285.0704426,273.5804589,0.031320579
272.3745238,251.989036,0.031464804
291.1725997,275.4476201,0.031320579
283.4105529,270.6967895,0.030743686
288.6791625,276.571003,0.030887909
251.5651581,244.533505,0.02728253
259.3826487,245.6368911,0.02728253
247.4665467,240.9547485,0.026705709
256.3106612,249.7983859,0.028003573
284.1137072,272.995277,0.031320579
289.5588812,275.9698731,0.030887909
288.6346409,274.7381285,0.030311022
239.4259189,235.9002115,0.026417304
296.8858943,280.8485185,0.031032132
280.3009061,269.3731638,0.029878364
279.4909397,256.7280003,0.029157277
283.2503457,268.5477601,0.029589927
137.7332112,137.5146586,0.020217647
268.9345593,255.2616007,0.02728253
258.4518949,242.3467248,0.019641075
235.9939571,232.7557229,0.033195534
276.1302072,265.8162773,0.02944571
209.9121828,225.451285,0.019641075
284.3087613,255.6991049,0.036224456
251.746764,244.0060236,0.027138324
294.0084204,279.7431379,0.030599465
255.1596126,264.0463593,0.02728253
290.7560343,276.348362,0.030311022
286.8793171,274.1532293,0.029734145
274.1503572,257.9285902,0.029013062
301.0295271,276.0729621,0.031464804
281.8891026,266.4101056,0.029157277
258.710044,249.8040634,0.027570945
267.4935485,253.4749212,0.029301493
170.5783971,211.2200209,0.021515042
279.4858991,267.975271,0.02944571
280.7568831,272.4161076,0.030887909
210.3734316,226.0214237,0.019641075
292.3073531,273.6960311,0.037955336
279.4853841,256.8383449,0.029157277
292.1185201,280.0294844,0.031032132
254.1546002,245.1770938,0.02728253
284.6630543,274.4827667,0.031320579
284.6121415,271.4543448,0.030743686
282.2303154,271.0920446,0.029878364
287.9576192,273.7825652,0.030455243
289.2663114,275.4160776,0.030887909
264.2638502,251.8470035,0.02728253
285.430544,273.7254584,0.031320579
251.1473818,239.8879905,0.025984702
291.0422803,277.9703629,0.030887909
244.9996459,242.137716,0.028291995
249.4234695,253.7280441,0.026849913
271.9621456,257.4486735,0.02728253
282.5927684,267.4431486,0.029157277
134.7762114,135.1738886,0.019496937
256.9860332,251.2236288,0.028003573
243.9830455,238.9178762,0.025984702
283.7782093,268.8998754,0.02944571
269.7110681,272.2863221,0.030022583
285.704415,274.5576099,0.031320579
238.2704509,240.382577,0.025263718
295.7394503,272.7923805,0.031032132
287.3923177,272.3094164,0.030022583
276.036222,266.9626589,0.030311022
298.7979115,273.7764487,0.031032132
266.708843,253.8699537,0.02858042
286.6652581,273.087738,0.031320579
266.5020173,252.87776,0.028003573
276.6415721,261.6454141,0.027715153
287.3202808,272.1561802,0.031753254
251.744156,244.0423671,0.027138324
296.3985708,274.4098721,0.031032132
276.9249706,264.5829166,0.028724633
286.6636209,273.279444,0.029878364
276.8806738,265.9766199,0.029878364
249.5279685,240.330189,0.027138324
205.2663072,225.4494642,0.019641075
275.5861189,268.8592502,0.034205156
262.3143823,252.8491803,0.027570945
299.1779192,276.7936806,0.031464804
278.4042995,267.5483903,0.02944571
298.8397376,276.3371168,0.030599465
296.3455457,275.6352318,0.031032132
146.0348329,139.4918519,0.021082562
282.4882563,269.8928395,0.030743686
264.4363734,248.3439606,0.026849913
258.9462759,252.7438104,0.027715153
243.0304594,239.8063709,0.026705709
261.7828526,251.154035,0.027715153
248.068335,242.9639276,0.028003573
273.9390078,258.0815378,0.028724633
207.955287,225.4494642,0.019641075
299.3407219,276.6150914,0.036657172
280.1676061,268.96438,0.029157277
267.4435478,256.6515402,0.029013062
284.0909748,273.0607919,0.031320579
269.3079715,251.1667109,0.027715153
287.1828792,273.2871649,0.030455243
288.6389594,272.4730019,0.030166802
254.2291529,244.5515782,0.02728253
256.2665345,247.7678122,0.027138324
258.4353464,242.3488896,0.019641075
258.4353464,242.3488896,0.026417304
272.1167698,262.7076235,0.035791743
274.1667299,266.5945054,0.02944571
282.2353659,270.7921897,0.029878364
265.0829494,248.0703508,0.027715153
279.6939637,268.3310434,0.029157277
292.2552794,276.050721,0.032185933
252.4335909,245.8409326,0.02728253
258.4353464,242.3488896,0.019641075
285.1767696,272.79579,0.037666853
269.5425538,252.423167,0.029013062
243.659189,248.208429,0.025552109
248.2091056,244.0715174,0.027570945
292.2405613,275.2410028,0.030887909
257.811897,243.6923352,0.026417304
287.9585897,271.1932694,0.029589927
283.8103089,271.9577641,0.030887909
145.6188759,139.6074913,0.021082562
258.4353464,242.3488896,0.019641075
289.517716,276.0378018,0.038099578
260.8151598,252.1346599,0.026849913
296.9160337,274.9633426,0.031032132
248.2630396,239.6508378,0.019641075
209.1741369,226.0196456,0.026705709
260.6725987,244.1168365,0.034637857
287.4953416,273.8793712,0.031753254
269.7750005,258.1226288,0.027570945
289.1650665,274.9397898,0.030455243
282.2505329,270.806094,0.030887909
248.199901,244.069324,0.027570945
293.852761,280.0032999,0.031032132
272.122916,265.8116967,0.029013062
265.4696215,247.859997,0.02728253
253.4957531,248.9131521,0.027138324
293.8686801,273.0970243,0.031032132
270.9750159,254.1919416,0.028147783
301.0721336,277.5874132,0.031464804
281.4469226,268.4970507,0.029589927
288.3710434,271.5122847,0.029589927
284.6018759,272.2607977,0.030887909
259.6227051,247.9523849,0.028724633
296.0156657,274.3375463,0.030599465
262.5843091,251.412937,0.02944571
257.8277699,243.6663568,0.026417304
297.9199356,274.6065938,0.031032132
272.0921273,262.735724,0.029013062
287.2847915,271.6364641,0.029589927
292.1963823,279.2136653,0.029589927
260.0508636,242.7473612,0.026849913
289.5899046,276.7040984,0.030022583
254.8854264,256.5268365,0.027426737
282.9592847,273.5480664,0.030887909
296.0144095,270.3038034,0.031753254
296.6573248,275.2841915,0.031464804
144.221131,140.7621435,0.020650096
264.4988857,251.8426079,0.02728253
254.8854264,256.566122,0.027426737
285.350169,272.9752769,0.029878364
307.0308273,278.0652248,0.03189748
298.1823052,274.008512,0.031464804
277.2760564,266.2079431,0.029013062
260.8907353,257.5009751,0.028291995
296.2242927,279.986974,0.031753254
282.8023974,267.4899305,0.029157277
137.7332112,137.4808884,0.020217647
290.25427,275.2922605,0.029589927
252.2194118,253.7276599,0.027426737
254.5528645,241.8876483,0.019641075
283.9006932,273.8171606,0.038099578
255.9888336,245.875647,0.027138324
268.0447601,258.002733,0.028147783
247.4755305,240.9525551,0.026705709
253.6608468,243.6655555,0.026417304
292.3468023,275.5467163,0.030166802
254.2254536,245.8840261,0.027138324
258.2571369,242.3727032,0.019641075
295.9710933,274.6961957,0.037811094
205.5681503,226.0355226,0.019641075
308.967133,280.4641012,0.037811094
264.3671871,248.3808048,0.026849913
292.5046311,275.2786073,0.030599465
258.9386304,258.8577846,0.029157277
282.2947144,272.8560117,0.031320579
287.6265075,273.3718368,0.029157277
303.9576719,277.4046775,0.03189748
282.1599573,268.2676365,0.028724633
282.4385111,271.4368063,0.030887909
234.3656768,241.8780255,0.02497533
288.3876541,272.0194719,0.031753254
271.2235539,261.2303677,0.029013062
280.9547732,258.2041245,0.029589927
262.4989179,247.4044242,0.026849913
301.5451607,275.896127,0.03189748
266.5372074,252.7634538,0.029878364
296.8726664,275.2792359,0.031032132
283.0548675,270.5170924,0.030887909
284.4641313,273.244742,0.031753254
272.4828504,260.1232197,0.028868847
137.8502976,136.1063261,0.020650096
297.8875693,273.5618669,0.030599465
280.7281123,272.2053378,0.030887909
279.1389621,268.089213,0.02944571
137.7332112,137.5611027,0.020217647
297.3358438,280.6245478,0.030022583
137.7332112,137.5287528,0.020217647
273.5694378,257.458599,0.028147783
301.1705884,277.6016073,0.031464804
300.9607858,277.0206608,0.031176355
290.3273223,273.389819,0.030455243
290.116944,277.2156008,0.030599465
290.1806525,277.1433762,0.030599465
225.100823,232.7502369,0.019641075
195.0293474,188.9000078,0.027715153
278.1325109,267.2266915,0.029878364
297.0574028,276.6037164,0.031032132
271.9136827,262.7274008,0.029013062
