RCC,CCL,PLC,Vulnerableness
58.96012453,74.43121659,41.09725389,1.01E+00
67.15393147,267.3648656,255.7830503,6.26E-01
76.7662278,257.9762961,208.1859908,2.58E-01
36.20901799,113.2690195,70.8468925,4.38E-01
25.27052322,23.40403969,41.59095238,8.14E+00
152.0868288,665.1323647,673.3350971,8.80E-01
22.31295283,70.16095387,78.31867844,1.96E+00
191.8270459,506.3243655,461.3574861,9.00E-01
90.02107367,391.4091803,369.2940307,9.00E-01
131.3240757,382.5574335,332.7027598,9.00E-01
301.5368825,528.3221915,569.7934999,1.80E-01
128.9973921,863.390885,765.3594736,0.179764508
29.45350816,717.6981363,734.1190874,0.512222007
