RMC,CCC
31.5,2.74298496
15.5,2.733754301
22.5,2.733325358
13,2.732134097
19.5,2.733517438
13,2.731070179
19,2.733437813
13,2.733547293
22.5,2.733298478
7,2.822315124
7.5,2.822420115
25,2.739213086
22,2.733517438
6.5,2.822498486
16.5,2.733704034
27.5,2.733517438
22,2.73363686
16,2.733547293
22.5,2.733016832
16.5,2.733235792
27.5,2.734129991
9.5,2.822865956
10,2.822498486
22,2.733235792
22.5,2.734244935
15.5,2.733517438
18.5,2.733547293
21.5,2.733828939
25.5,2.73380994
19,2.733963289
28,2.743238751
7,2.822210132
13.5,2.732134097
19.5,2.733547293
15.5,2.732134097
9.5,2.822498486
10,2.73149116
10,2.822656968
22,2.733547293
22.5,2.733517438
31.5,2.742800852
9.5,2.822420115
25,2.733517438
22,2.74178324
25,2.738919498
27.5,2.737436629
22,2.733235792
30.5,2.733533994
21.5,2.733547293
28,2.735841399
21.5,2.733235792
28.5,2.743184006
7.5,2.731269225
9.5,2.822656968
15.5,2.731915137
25,2.734536887
25.5,2.736727533
10,2.822420115
31,2.743238751
28.5,2.742890418
31,2.742800852
7.5,2.822420115
19.5,2.73363686
16,2.733547293
28,2.734115742
31,2.739491746
12.5,2.733517438
13.5,2.733228826
28,2.733709518
19.5,2.733235792
31,2.743492522
13,2.73149116
9.5,2.731179659
3.5,2.821088066
24.5,2.740862658
7.5,2.822420115
27.5,2.733407958
37,2.742800852
9.5,2.822946068
19.5,2.733594554
28,2.733235792
4,2.821035819
7.5,2.822420115
13,2.731915137
13,2.731272201
28.5,2.740688491
28,2.743064584
16,2.73363686
19.5,2.731822596
6.5,2.822420115
16,2.733407958
18.5,2.733644821
13.5,2.732024617
27.5,2.743064584
16,2.733517438
10,2.731179659
9.5,2.822709215
18.5,2.73149116
30.5,2.742800852
13.5,2.73149116
4,2.82111419
13.5,2.732134097
7,2.822709215
25,2.734507032
18.5,2.733126312
10,2.822420115
25,2.733517438
10,2.822420115
22,2.733547293
4,2.821062689
19.5,2.733547293
25,2.733235792
24.5,2.733235792
7,2.822420115
3.5,2.820930828
7,2.822446985
7,2.821324919
25,2.734684643
25.5,2.743238751
13,2.733126312
22.5,2.733517438
13,2.736097084
9.5,2.822551976
10,2.733828939
10,2.731179659
25,2.73330845
10,2.733517438
6.5,2.822656968
16,2.731647901
25,2.733517438
24.5,2.733235792
28,2.742691372
25.5,2.742955105
24.5,2.733126312
10,2.822420115
22,2.735132867
16,2.733215878
30.5,2.74309444
9.5,2.822656968
3.5,2.821035819
10,2.732104242
34.5,2.742955105
9.5,2.822710459
15.5,2.733547293
22,2.733437813
18.5,2.733547293
19,2.733547293
19,2.733547293
10,2.822420115
10,2.822420115
7,2.822656968
12.5,2.73308949
16,2.733298478
12.5,2.733517438
21.5,2.742671458
7.5,2.822656968
22,2.74309444
31.5,2.743064584
25.5,2.742845625
4.5,2.822656968
6.5,2.822420115
28,2.733700461
4,2.821035819
31,2.743582088
16,2.730984583
13,2.822551976
13.5,2.732306263
6.5,2.822446985
16.5,2.731428942
10,2.822787585
4.5,2.820930828
19.5,2.733407958
25.5,2.733325358
