RMC,CCC
7.5,1.660180405
5,3.230063507
6.666666667,3.185604786
6.666666667,1.652592541
5,3.187614961
6.666666667,3.230559202
5,3.186992603
6.666666667,3.230378876
8.333333333,3.185453871
5,3.230321089
5,3.185190906
5.833333333,3.230700955
5.833333333,3.185962413
5.833333333,3.22962807
5,1.660893532
6.666666667,3.230124576
5,3.185977725
5,3.2299322
5,3.185247051
5.833333333,1.652385826
5.833333333,3.185140161
5,3.230542438
5,3.186593525
5,3.230639672
5.833333333,3.186512286
5,3.230667447
6.666666667,3.185480931
5.833333333,3.390230122
7.5,3.186694061
5,3.253501158
6.666666667,1.660407076
6.666666667,3.229729327
8.333333333,3.186695941
6.666666667,3.230677897
5.833333333,3.18602733
5,3.230297368
8.333333333,3.186451628
5.833333333,1.653637955
5.833333333,1.660349604
5.833333333,1.652216822
5.833333333,1.66059986
5.833333333,3.230518453
5,3.186621732
6.666666667,1.652750028
6.666666667,3.186125189
6.666666667,1.652459171
5,3.185900562
5.833333333,3.229916273
5,3.185611105
5,3.230128649
6.666666667,1.660415119
5.833333333,3.229956922
5,3.185211049
5,1.652763256
5.833333333,3.187148878
5.833333333,3.229883496
5,3.185458961
6.666666667,3.230764901
5.833333333,3.186432942
6.666666667,3.230435809
7.5,3.186774637
4.166666667,3.231177225
8.333333333,3.185355579
5,3.230715757
8.333333333,1.660439256
6.666666667,3.230599699
5,1.661280229
5.833333333,3.22967388
6.666666667,3.185984498
6.666666667,3.230123265
5,3.185784776
5.833333333,3.229681507
5,3.186957379
5,3.230456241
4.166666667,1.660399057
5,3.230676348
5,3.186767693
6.666666667,1.652676557
5.833333333,3.186665485
5.833333333,1.652518628
6.666666667,3.18633084
5,3.230139777
5,3.185368261
5,4.090836883
5,3.185320467
6.666666667,3.230502749
5,3.185082685
5,3.230404116
5.833333333,3.186127917
5,3.230399702
5,3.184837084
10.83333333,3.230451485
7.5,3.185604815
5.833333333,3.230057635
10.83333333,3.186063914
11.66666667,3.230276988
6.666666667,3.186105948
5.833333333,3.230054079
4.166666667,3.185383375
5.833333333,3.231015298
6.666666667,3.576307577
5.833333333,3.230173893
5.833333333,3.186688087
5.833333333,1.652644662
5.833333333,3.186687608
5,3.229858583
5,1.660089112
5,3.22966519
6.666666667,2.138399214
5,3.186790514
6.666666667,3.229902622
5.833333333,3.185488334
5.833333333,3.230026307
8.333333333,3.186321743
7.5,3.230015571
5,3.18626762
5,3.22997484
5,3.184703674
5,3.229879792
5,3.186770316
5,3.229670885
32,5.052546453
30,5.028632836
33,5.052418089
24,5.053084906
57,5.052418089
28,5.023692649
43.5,4.978046428
39.5,5.052405329
55,5.028423628
31,4.999624336
44,4.948994217
26,4.937807009
45.5,5.057006037
45.5,5.023954864
45.5,4.913089386
62,5.052167074
24.5,4.942913024
45.5,5.019838391
49.5,5.048878801
32,5.033987643
45.5,5.056825693
45.5,4.937475717
51,5.024475618
37,5.041381053
54,5.056990748
22,4.933147329
56,5.052414109
22,4.942627512
49.5,4.999983377
24,4.999963591
45.5,5.02825959
62,5.052054174
23,5.028326705
54,5.056864559
33.5,5.057115291
49,5.028624
31,5.05254147
45.5,5.028691135
45.5,5.028561198
45.5,5.023576585
45.5,5.056996997
56,5.023954864
30.5,4.942784032
59,5.052290789
27.5,5.028671292
47.5,4.999643014
27,5.028329147
61,5.023587347
39,4.973804392
51.5,4.937810156
33.5,4.913216466
43.5,5.028288211
41.5,5.052550372
42.5,4.926251165
35,5.05219302
42.5,4.937934017
36.5,5.028352501
43.5,4.978018206
26,5.052418879
47,4.937710756
24,5.05662298
57.5,5.052550706
27.5,4.942765023
45.5,4.949414334
54,5.041439206
22,4.942764356
53,5.057003489
37.5,5.028252691
45.5,5.05218348
53,5.0523672
36.5,4.9999847
42.5,4.926115749
31.5,5.052429604
32,5.052541653
47.5,4.948917829
22,4.942783905
47.5,5.019915503
26,4.942403603
51.5,4.972888223
32.5,5.052424409
45,5.057113722
22,4.93793691
52,4.942901581
27,5.052061588
58,5.041013575
27,5.024251045
30.5,4.948731826
34.5,5.024677512
62,5.057001032
25.5,5.064319123
57,5.028628188
39,5.028643109
51,5.024638834
30,5.048329905
23.5,5.028691135
53.5,5.048267856
23,4.973259635
52.5,5.057126159
30.5,4.937799555
43.5,5.012907459
22,4.942764166
48.5,5.028381108
36.5,5.052396609
