RMC,CCC,Complexity
7.5,1.660180405,0.067698756
5,3.230063507,0.055104099
6.666666667,3.185604786,0.054273682
6.666666667,1.652592541,0.055163414
5,3.187614961,0.05381893
6.666666667,3.230559202,0.055163414
5,3.186992603,0.054273682
6.666666667,3.230378876,0.055163414
8.333333333,3.185453871,0.068469858
5,3.230321089,0.055163414
5,3.185190906,0.054273682
5.833333333,3.230700955,0.055618166
5.833333333,3.185962413,0.054273682
5.833333333,3.22962807,0.055163414
5,1.660893532,0.06848963
6.666666667,3.230124576,0.055321589
5,3.185977725,0.068469858
5,3.2299322,0.055163414
5,3.185247051,0.054847065
5.833333333,1.652385826,0.055163414
5.833333333,3.185140161,0.053759614
5,3.230542438,0.055104099
5,3.186593525,0.068469858
5,3.230639672,0.055163414
5.833333333,3.186512286,0.054273682
5,3.230667447,0.055163414
6.666666667,3.185480931,0.067698756
5.833333333,3.390230122,0.055163414
7.5,3.186694061,0.067619669
5,3.253501158,0.055163414
6.666666667,1.660407076,0.054847065
6.666666667,3.229729327,0.055143642
8.333333333,3.186695941,0.067619669
6.666666667,3.230677897,0.055163414
5.833333333,3.18602733,0.053759614
5,3.230297368,0.055104099
8.333333333,3.186451628,0.054214366
5.833333333,1.653637955,0.055637938
5.833333333,1.660349604,0.06848963
5.833333333,1.652216822,0.055163414
5.833333333,1.66059986,0.067599897
5.833333333,3.230518453,0.055163414
5,3.186621732,0.067619669
6.666666667,1.652750028,0.055163414
6.666666667,3.186125189,0.054273682
6.666666667,1.652459171,0.055321589
5,3.185900562,0.054827293
5.833333333,3.229916273,0.055163414
5,3.185611105,0.067639441
5,3.230128649,0.055637938
6.666666667,1.660415119,0.054767978
5.833333333,3.229956922,0.055163414
5,3.185211049,0.054214366
5,1.652763256,0.055163414
5.833333333,3.187148878,0.05381893
5.833333333,3.229883496,0.055163414
5,3.185458961,0.067619669
6.666666667,3.230764901,0.055321589
5.833333333,3.186432942,0.054273682
6.666666667,3.230435809,0.055163414
7.5,3.186774637,0.05381893
4.166666667,3.231177225,0.055321589
8.333333333,3.185355579,0.05381893
5,3.230715757,0.055163414
8.333333333,1.660439256,0.054273682
6.666666667,3.230599699,0.055321589
5,1.661280229,0.054767978
5.833333333,3.22967388,0.055163414
6.666666667,3.185984498,0.068469858
6.666666667,3.230123265,0.055123871
5,3.185784776,0.067599897
5.833333333,3.229681507,0.055163414
5,3.186957379,0.068469858
5,3.230456241,0.055163414
4.166666667,1.660399057,0.06848963
5,3.230676348,0.055163414
5,3.186767693,0.05381893
6.666666667,1.652676557,0.055618166
5.833333333,3.186665485,0.054273682
5.833333333,1.652518628,0.055163414
6.666666667,3.18633084,0.068469858
5,3.230139777,0.055163414
5,3.185368261,0.068509402
5,4.090836883,0.055301817
5,3.185320467,0.053759614
6.666666667,3.230502749,0.055104099
5,3.185082685,0.054214366
5,3.230404116,0.055163414
5.833333333,3.186127917,0.067599897
5,3.230399702,0.055301817
5,3.184837084,0.054847065
10.83333333,3.230451485,0.055163414
7.5,3.185604815,0.054273682
5.833333333,3.230057635,0.055163414
10.83333333,3.186063914,0.06848963
11.66666667,3.230276988,0.055163414
6.666666667,3.186105948,0.067619669
5.833333333,3.230054079,0.055163414
4.166666667,3.185383375,0.054273682
5.833333333,3.231015298,0.055163414
6.666666667,3.576307577,0.067678985
5.833333333,3.230173893,0.055163414
5.833333333,3.186688087,0.068450086
5.833333333,1.652644662,0.055163414
5.833333333,3.186687608,0.054273682
5,3.229858583,0.055321589
5,1.660089112,0.067619669
5,3.22966519,0.055321589
6.666666667,2.138399214,0.067619669
5,3.186790514,0.055163414
6.666666667,3.229902622,0.05381893
5.833333333,3.185488334,0.055321589
5.833333333,3.230026307,0.068509402
8.333333333,3.186321743,0.055163414
7.5,3.230015571,0.067619669
5,3.18626762,0.055163414
5,3.22997484,0.054273682
5,3.184703674,0.055163414
5,3.229879792,0.068469858
5,3.186770316,0.055104099
5,3.229670885,0.053977104
32,5.052546453,0.070932079
30,5.028632836,0.070647452
33,5.052418089,0.070722354
24,5.053084906,0.069943374
57,5.052418089,0.071486353
28,5.023692649,0.070407766
43.5,4.978046428,0.067142044
39.5,5.052405329,0.071141804
55,5.028423628,0.07097702
31,4.999624336,0.070377805
44,4.948994217,0.067201965
26,4.937807009,0.067157024
45.5,5.057006037,0.071051922
45.5,5.023954864,0.071036942
45.5,4.913089386,0.067471612
62,5.052167074,0.071516314
24.5,4.942913024,0.066737574
45.5,5.019838391,0.070213021
49.5,5.048878801,0.070093178
32,5.033987643,0.070467687
45.5,5.056825693,0.071066902
45.5,4.937475717,0.067037181
51,5.024475618,0.07016808
37,5.041381053,0.071216706
54,5.056990748,0.070617491
22,4.933147329,0.066752554
56,5.052414109,0.071261647
22,4.942627512,0.066872397
49.5,4.999983377,0.070632471
24,4.999963591,0.070257962
45.5,5.02825959,0.070048237
62,5.052054174,0.071351529
23,5.028326705,0.07016808
54,5.056864559,0.071201726
33.5,5.057115291,0.07096204
49,5.028624,0.07057255
31,5.05254147,0.070647452
45.5,5.028691135,0.070362825
45.5,5.028561198,0.071186745
45.5,5.023576585,0.071051922
45.5,5.056996997,0.070827216
56,5.023954864,0.070992
30.5,4.942784032,0.067471612
59,5.052290789,0.071246667
27.5,5.028671292,0.070242982
47.5,4.999643014,0.070377805
27,5.028329147,0.070407766
61,5.023587347,0.071231686
39,4.973804392,0.068010906
51.5,4.937810156,0.067411691
33.5,4.913216466,0.067696318
43.5,5.028288211,0.070093178
41.5,5.052550372,0.071246667
42.5,4.926251165,0.067037181
35,5.05219302,0.07138149
42.5,4.937934017,0.066872397
36.5,5.028352501,0.070992
43.5,4.978018206,0.067261887
26,5.052418879,0.070467687
