RMC,CCC,Complexity
25,2.733126312,1
25,2.733517438,1
10,2.731461305,1
7.5,2.822420115,1
22,2.742955105,1
4.5,2.822656968,1
25.5,2.73380994,1
12.5,2.731775802,1
10,2.822551976,1
28,2.733517438,1
4.5,2.820930828,1
3.5,2.821035819,1
31.5,2.74309444,1
27.5,2.733235792,1
19.5,2.823878054,1
4,2.821221172,1
19,2.733828939,1
16,2.731543905,1
31,2.742955105,1
19.5,2.731775802,1
31.5,2.741979788,1
13,2.731647901,1
25.5,2.733517438,1
13.5,2.731907156,1
13,2.822420115,1
10,2.822710459,1
16,2.733407958,1
31,2.743756255,1
7.5,2.822605467,1
7,2.822656968,1
13,2.73350053,1
7,2.82281545,1
16,2.732134097,1
27.5,2.741957406,1
7.5,2.822656968,1
25,2.743129271,1
28,2.733517438,1
25,2.742743619,1
28,2.742955105,1
7.5,2.822210132,1
4.5,2.822393494,1
6.5,2.822446985,1
10,2.822656968,1
16.5,2.73350053,1
16,2.731494156,1
4,2.821035819,1
28,2.741519507,1
10,2.73311637,1
6.5,2.822656968,1
22.5,2.733517438,1
15.5,2.822709215,1
7.5,2.822498486,1
4.5,2.82281545,1
3.5,2.822551976,1
21.5,2.733709518,1
10,2.732296321,1
4.5,2.821035819,1
4,2.821035819,1
27.5,2.733517438,1
4,2.821035819,1
4,2.820825836,1
4,2.82111419,1
4,2.821035819,1
4.5,2.822446985,1
22,2.733616946,1
4.5,2.822420115,1
22,2.743019791,1
25.5,2.742845625,1
19.5,2.733328334,1
30.5,2.74309444,1
16,2.732639659,1
4.5,2.822420115,1
22.5,2.733126312,1
6.5,2.822498486,1
2.833333333,2.884907766,1
1.333333333,4.863815767,1
2.666666667,5.57607892,1
4.333333333,5.777114236,1
4.333333333,4.807857124,1
3.833333333,5.671035029,1
3.333333333,5.779232617,1
3.833333333,5.622321872,1
4.333333333,4.951626445,1
3.333333333,5.561727509,1
4.833333333,5.897020132,1
4.333333333,5.812485453,1
3.833333333,5.81588171,1
2.833333333,5.472577723,1
3.333333333,5.56174588,1
1.333333333,4.885826709,1
1.833333333,5.068462862,1
1.833333333,4.912427195,1
2.833333333,5.346188774,1
3.333333333,5.360049602,1
2.833333333,5.283796319,1
4.333333333,5.956820156,1
5.333333333,6.008610664,1
4.833333333,5.966934263,1
4.333333333,5.877888284,1
1.333333333,4.813941141,1
3.333333333,5.368807283,1
3.333333333,4.005532591,1
1.833333333,5.02381981,1
2.833333333,5.692186276,1
2.833333333,5.62301612,1
5.333333333,5.702735703,1
1.833333333,5.211289213,1
4.833333333,5.767371825,1
3.333333333,5.197722811,1
1.833333333,4.912961553,1
2.333333333,4.923753956,1
2.833333333,5.181457355,1
2.333333333,5.273058315,1
1.833333333,2.969900399,1
3.333333333,5.477607669,1
2.333333333,5.623779744,1
3.333333333,5.370721553,1
2.333333333,5.209935436,1
3.833333333,5.634855322,1
3.333333333,5.584428856,1
1.833333333,4.872138321,1
3.333333333,5.683922691,1
4.833333333,5.96276413,1
4.333333333,5.906271741,1
2.833333333,5.574748914,1
3.833333333,5.87049231,1
2.333333333,5.129671789,1
1.333333333,5.113540081,1
4.333333333,5.891350928,1
3.333333333,5.687928156,1
1.833333333,5.104369501,1
2.833333333,5.328887623,1
4.833333333,5.872829808,1
4.333333333,5.730670684,1
1.333333333,5.106914917,1
1.333333333,5.047938485,1
3.333333333,5.426202588,1
2.333333333,4.908308785,1
2.333333333,5.232153601,1
4.333333333,5.763260429,1
2.333333333,4.710071975,1
1.333333333,4.857553528,1
1.833333333,5.561278663,1
4.333333333,5.762455534,1
1.333333333,5.047890552,1
3.833333333,5.569194024,1
2.833333333,5.76389066,1
3.333333333,5.06293075,1
3.333333333,5.791098199,1
3.333333333,5.754305302,1
3.833333333,5.066413972,1
1.333333333,5.116484156,1
1.833333333,5.477733993,1
3.833333333,5.637838591,1
4.833333333,5.388851221,1
4.833333333,5.75824158,1
3.833333333,5.605944206,1
4.333333333,5.709234985,1
1.833333333,4.978038668,1
2.333333333,5.132887896,1
1.833333333,4.899462741,1
2.333333333,5.072803753,1
3.833333333,5.619027487,1
4.833333333,5.726688586,1
3.333333333,5.708978751,1
3.333333333,4.738122846,1
4.333333333,5.870853625,1
2.833333333,5.545105912,1
4.333333333,5.530099431,1
2.833333333,5.601715602,1
1.833333333,2.741067793,1
2.333333333,5.322239999,1
1.333333333,5.11681969,1
3.333333333,4.671069053,1
2.833333333,5.463208618,1
1.333333333,4.162211706,1
3.333333333,5.626221874,1
1.833333333,4.984071061,1
4.833333333,5.813874599,1
2.833333333,5.051237075,1
3.333333333,5.750723024,1
2.833333333,5.676191621,1
3.833333333,5.424740999,1
4.333333333,5.953402537,1
2.333333333,5.575479855,1
2.333333333,5.121395152,1
3.833333333,5.293705474,1
2.833333333,3.380347291,1
2.333333333,5.529758754,1
3.833333333,5.553628553,1
1.333333333,4.171130834,1
3.833333333,5.781590092,1
4.333333333,5.529984146,1
5.333333333,5.777514685,1
3.833333333,5.029575059,1
4.833333333,5.630255002,1
3.833333333,5.629380509,1
2.833333333,5.583261143,1
3.833333333,5.69463497,1
4.333333333,5.72098504,1
2.333333333,5.229272058,1
4.333333333,5.645384167,1
3.833333333,4.97049391,1
4.833333333,5.75585954,1
3.333333333,4.849385983,1
2.833333333,4.938006186,1
2.333333333,5.381879385,1
2.333333333,5.589719162,1
1.666666667,2.682142409,1
2.833333333,5.085667963,1
2.833333333,4.829967227,1
3.333333333,5.614290996,1
3.333333333,5.336651094,1
3.833333333,5.651004597,1
2.333333333,4.717912378,1
3.833333333,5.849416498,1
3.833333333,5.684839421,1
3.833333333,5.460614679,1
3.833333333,5.909974337,1
3.333333333,5.275967432,1
4.333333333,5.669710385,1
3.333333333,5.273936431,1
2.833333333,5.473852955,1
4.333333333,5.681835102,1
1.833333333,4.984025644,1
3.833333333,5.862230803,1
1.833333333,5.477733993,1
3.333333333,5.669901486,1
2.833333333,5.477506558,1
1.833333333,4.940194156,1
1.333333333,4.071075851,1
2.333333333,5.454388317,1
2.333333333,5.192002904,1
4.833333333,5.916572715,1
