RMC,CCC,Cyclomatic Complexity
7.5,1.660180405,0
5,3.230063507,0
6.666666667,3.185604786,0
6.666666667,1.652592541,0
5,3.187614961,0
6.666666667,3.230559202,0
5,3.186992603,0
6.666666667,3.230378876,0
8.333333333,3.185453871,0
5,3.230321089,0
5,3.185190906,0
5.833333333,3.230700955,0
5.833333333,3.185962413,0
5.833333333,3.22962807,0
5,1.660893532,0
6.666666667,3.230124576,0
5,3.185977725,0
5,3.2299322,0
5,3.185247051,0
5.833333333,1.652385826,0
5.833333333,3.185140161,0
5,3.230542438,0
5,3.186593525,0
5,3.230639672,0
5.833333333,3.186512286,0
5,3.230667447,0
6.666666667,3.185480931,0
5.833333333,3.390230122,0
7.5,3.186694061,0
5,3.253501158,0
6.666666667,1.660407076,0
6.666666667,3.229729327,0
8.333333333,3.186695941,0
6.666666667,3.230677897,0
5.833333333,3.18602733,0
5,3.230297368,0
8.333333333,3.186451628,0
5.833333333,1.653637955,0
5.833333333,1.660349604,0
5.833333333,1.652216822,0
5.833333333,1.66059986,0
5.833333333,3.230518453,0
5,3.186621732,0
6.666666667,1.652750028,0
6.666666667,3.186125189,0
6.666666667,1.652459171,0
5,3.185900562,0
5.833333333,3.229916273,0
5,3.185611105,0
5,3.230128649,0
6.666666667,1.660415119,0
5.833333333,3.229956922,0
5,3.185211049,0
5,1.652763256,0
5.833333333,3.187148878,0
5.833333333,3.229883496,0
5,3.185458961,0
6.666666667,3.230764901,0
5.833333333,3.186432942,0
6.666666667,3.230435809,0
7.5,3.186774637,0
4.166666667,3.231177225,0
8.333333333,3.185355579,0
5,3.230715757,0
8.333333333,1.660439256,0
6.666666667,3.230599699,0
5,1.661280229,0
5.833333333,3.22967388,0
6.666666667,3.185984498,0
6.666666667,3.230123265,0
5,3.185784776,0
5.833333333,3.229681507,0
5,3.186957379,0
5,3.230456241,0
4.166666667,1.660399057,0
5,3.230676348,0
5,3.186767693,0
6.666666667,1.652676557,0
5.833333333,3.186665485,0
5.833333333,1.652518628,0
6.666666667,3.18633084,0
5,3.230139777,0
5,3.185368261,0
5,4.090836883,0
5,3.185320467,0
6.666666667,3.230502749,0
5,3.185082685,0
5,3.230404116,0
5.833333333,3.186127917,0
5,3.230399702,0
5,3.184837084,0
10.83333333,3.230451485,0
7.5,3.185604815,0
5.833333333,3.230057635,0
10.83333333,3.186063914,0
11.66666667,3.230276988,0
6.666666667,3.186105948,0
5.833333333,3.230054079,0
4.166666667,3.185383375,0
5.833333333,3.231015298,0
6.666666667,3.576307577,0
5.833333333,3.230173893,0
5.833333333,3.186688087,0
5.833333333,1.652644662,0
5.833333333,3.186687608,0
5,3.229858583,0
5,1.660089112,0
5,3.22966519,0
6.666666667,2.138399214,0
5,3.186790514,0
6.666666667,3.229902622,0
5.833333333,3.185488334,0
5.833333333,3.230026307,0
8.333333333,3.186321743,0
7.5,3.230015571,0
5,3.18626762,0
5,3.22997484,0
5,3.184703674,0
5,3.229879792,0
5,3.186770316,0
5,3.229670885,0
32,5.052546453,0
30,5.028632836,0
33,5.052418089,0
24,5.053084906,0
57,5.052418089,0
28,5.023692649,0
43.5,4.978046428,0
39.5,5.052405329,0
55,5.028423628,0
31,4.999624336,0
44,4.948994217,0
26,4.937807009,0
45.5,5.057006037,0
45.5,5.023954864,0
45.5,4.913089386,0
62,5.052167074,0
24.5,4.942913024,0
45.5,5.019838391,0
49.5,5.048878801,0
32,5.033987643,0
45.5,5.056825693,0
45.5,4.937475717,0
51,5.024475618,0
37,5.041381053,0
54,5.056990748,0
22,4.933147329,0
56,5.052414109,0
22,4.942627512,0
49.5,4.999983377,0
24,4.999963591,0
45.5,5.02825959,0
62,5.052054174,0
23,5.028326705,0
54,5.056864559,0
33.5,5.057115291,0
49,5.028624,0
31,5.05254147,0
45.5,5.028691135,0
45.5,5.028561198,0
45.5,5.023576585,0
45.5,5.056996997,0
56,5.023954864,0
30.5,4.942784032,0
